movie_name,release_year,certificate,duration,genre,star,metascore,votes
The Legend of Hanuman,2021– ,not rated,25 min,Animation,9.4,nil,"4,606"
 The Walking Dead,2010–2022,TV-MA,48 min,"Drama, Horror, Thriller",7.5,nil,"4,571"
 Invincible,2021– ,TV-MA,42 min,"Animation, Action, Adventure",8.3,nil,"4,516"
50M2,2021– ,TV-MA,45 min,"Comedy, Drama, Thriller",7.0,nil,"4,495"
Invisible City,2021– ,TV-G,60 min,"Crime, Drama, Fantasy",7.4,nil,"4,481"
Crazy About Her,2021,TV-MA,102 min,"Comedy, Romance",6.6,nil,"4,447"
 Cobra Kai,2018– ,TV-14,41 min,"Action, Comedy, Drama",9.5,nil,"4,444"
 Mare of Easttown,2021,TV-MA,57 min,"Crime, Drama, Mystery",9.4,nil,"4,435"
 Invincible,2021– ,TV-MA,45 min,"Animation, Action, Adventure",7.7,nil,"4,423"
Mandela,2021,not rated,140 min,"Comedy, Drama",8.5,nil,"4,419"
 Rick and Morty,2013– ,TV-14,nil,"Animation, Adventure, Comedy",9.1,nil,"4,417"
Virkar,2021– ,not rated,28 min,"Crime, Thriller",9.0,nil,"4,383"
Cruel Summer,2021– ,TV-14,45 min,"Drama, Mystery, Thriller",7.5,nil,"4,380"
The Crew,II 2021– ,TV-14,nil,Comedy,6.6,nil,"4,316"
Panic,2021– ,TV-14,nil,"Adventure, Crime, Drama",6.4,nil,"4,311"
 Invincible,2021– ,TV-MA,45 min,"Animation, Action, Adventure",8.0,nil,"4,305"
 Star Wars: The Bad Batch,2021– ,TV-PG,70 min,"Animation, Action, Adventure",9.0,nil,"4,281"
Nayattu,2021,not rated,124 min,Thriller,8.2,nil,"4,242"
Ajeeb Daastaans,2021,TV-MA,142 min,"Drama, Romance",6.7,nil,"4,240"
 One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.4,nil,"4,206"
Land,2021,PG-13,89 min,Drama,6.6,61        ,"4,204"
Biggie: I Got a Story to Tell,2021,R,97 min,"Documentary, Biography, Music",6.9,62        ,"4,198"
